add device 1: /dev/input/event10
add device 2: /dev/input/event0
add device 3: /dev/input/event1
add device 4: /dev/input/event7
add device 5: /dev/input/event9
add device 6: /dev/input/event8
add device 7: /dev/input/event6
add device 8: /dev/input/event5
add device 9: /dev/input/event4
add device 10: /dev/input/event3
add device 11: /dev/input/event2
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040a
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000005
/dev/input/event1: 0003 0035 0000037b
/dev/input/event1: 0003 0030 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000007
/dev/input/event1: 0003 0035 0000037f
/dev/input/event1: 0003 0031 00000004
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff5
/dev/input/event3: 0002 0001 00000037
/dev/input/event3: 0002 0002 0000040b
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000c
/dev/input/event1: 0003 0035 0000038b
/dev/input/event1: 0003 0036 00000454
/dev/input/event1: 0003 0031 00000003
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000399
/dev/input/event1: 0003 0036 0000044f
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff3
/dev/input/event3: 0002 0001 00000035
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 000003b2
/dev/input/event1: 0003 0036 00000440
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000003cd
/dev/input/event1: 0003 0036 00000437
/dev/input/event1: 0003 0030 00000007
/dev/input/event1: 0003 0031 00000004
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 000003f2
/dev/input/event1: 0003 0036 00000431
/dev/input/event1: 0003 0030 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff3
/dev/input/event3: 0002 0001 00000036
